Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
idmt-filem G: 2291.99 1038.88 45.32% cmr G:\cmr
idmt-filem G: 2291.99 1038.88 45.32% restore G:\restore
idmt-filem G: 2291.99 1038.88 45.32% EditBack2 G:\EditBack2
idmt-filem G: 2291.99 1038.88 45.32% Marketing F:\Groups\Marketing
idmt-filem G: 2291.99 1038.88 45.32% OFFICE F:\Groups\OFFICE
idmt-filem G: 2291.99 1038.88 45.32% Gen_Manage F:\Groups\Gen_Manage
idmt-filem G: 2291.99 1038.88 45.32% TD F:\Groups\TD
idmt-filem G: 2291.99 1038.88 45.32% Photo G:\Photo
idmt-filem G: 2291.99 1038.88 45.32% Market_Pub F:\Groups\Market_Pub
idmt-filem I: 1114.00 1.04 0.093% Groups I:\Groups
idmt-filem I: 1114.00 1.04 0.093% Lib_Limited F:\Library
idmt-filem I: 1114.00 1.04 0.093% cmr G:\cmr
idmt-filem I: 1114.00 1.04 0.093% restore G:\restore
idmt-filem I: 1114.00 1.04 0.093% EditBack2 G:\EditBack2
idmt-filem I: 1114.00 1.04 0.093% Marketing F:\Groups\Marketing
idmt-filem I: 1114.00 1.04 0.093% OFFICE F:\Groups\OFFICE
idmt-filem I: 1114.00 1.04 0.093% Gen_Manage F:\Groups\Gen_Manage
idmt-filem I: 1114.00 1.04 0.093% TD F:\Groups\TD
idmt-filem I: 1114.00 1.04 0.093% Photo G:\Photo
idmt-filem I: 1114.00 1.04 0.093% Market_Pub F:\Groups\Market_Pub
idmt-filen G: 465.76 0.02 0.004% ShiXun F:\Projects\ShiXun
idmt-filen G: 465.76 0.02 0.004% NetRender_ShiXun F:\NetRender
idmt-filen G: 465.76 0.02 0.004% test F:\test
idmt-filen G: 465.76 0.02 0.004% Resource G:\Resource
idmt-fileo G: 2794.52 1234.80 44.18% SS_Post_Production G:\Projects\ShenShou\Post_Production
idmt-fileo G: 2794.52 1234.80 44.18% Scenes G:\Scenes
idmt-fileo G: 2794.52 1234.80 44.18% TB_Render G:\Projects\Tofuboy\Production\Render
idmt-fileo G: 2794.52 1234.80 44.18% TM_MOV G:\Projects\TM_MOV
idmt-fileo G: 2794.52 1234.80 44.18% TM_tests G:\Projects\TM_tests
idmt-fileo G: 2794.52 1234.80 44.18% RR_Images G:\Projects\RainbowRiders\Images
idmt-fileo G: 2794.52 1234.80 44.18% NG_Project_data G:\Projects\ninjago\NG_Project_data
idmt-fileo G: 2794.52 1234.80 44.18% GT_sourceimages G:\Projects\GummiTarzan\Project\sourceimages
idmt-fileo G: 2794.52 1234.80 44.18% OT_sourceimages G:\Projects\OTTO\Project\sourceimages
idmt-fileq E: 2794.52 1994.00 71.35% WAWA E:\Projects\WAWA
idmt-fileq E: 2794.52 1994.00 71.35% zr_relight G:\Projects\Zorro\Project\relight
idmt-fileq E: 2794.52 1994.00 71.35% Sabrina F:\Projects\Sabrina
idmt-fileq E: 2794.52 1994.00 71.35% Zr_Daily_N E:\Projects\Zorro\Daily_N
idmt-fileq E: 2794.52 1994.00 71.35% TM_Project E:\Projects\TTMS\Project
idmt-fileq E: 2794.52 1994.00 71.35% Zr_scratch E:\Projects\Zorro\Zorro_scratch
idmt-fileq E: 2794.52 1994.00 71.35% Zr_Project E:\Projects\Zorro\Project
idmt-fileq E: 2794.52 1994.00 71.35% Zr_Images E:\Projects\Zorro\Production\Render\Images
idmt-fileq E: 2794.52 1994.00 71.35% zr_data G:\Projects\Zorro\Project\data
idmt-fileq E: 2794.52 1994.00 71.35% Zr_Daily E:\Projects\Zorro\Production\Daily
idmt-fileq E: 2794.52 1994.00 71.35% Zr_MOV E:\Projects\Zorro\Production\Render\MOV
idmt-fileq E: 2794.52 1994.00 71.35% Zr_Reference E:\Projects\Zorro\Reference
idmt-fileq E: 2794.52 1994.00 71.35% TestProjects G:\Projects\TestProjects
idmt-fileq E: 2794.52 1994.00 71.35% WO_Post_P F:\Projects\woodlies\Post_Production
idmt-fileq E: 2794.52 1994.00 71.35% RR_Project_Particles E:\Projects\RainbowRiders\Project\particles
idmt-fileq E: 2794.52 1994.00 71.35% Zr_Compositing E:\Projects\Zorro\Production\Render\Compositing
idmt-fileq E: 2794.52 1994.00 71.35% TM_sourceimages G:\Projects\TTMS\Project\sourceimages
idmt-fileq E: 2794.52 1994.00 71.35% RR_Project_data E:\Projects\RainbowRiders\Project\data
idmt-fileq E: 2794.52 1994.00 71.35% Zr_Post_P E:\Projects\Zorro\Post_Production
idmt-fileq F: 1397.26 1315.76 94.16% WAWA E:\Projects\WAWA
idmt-fileq F: 1397.26 1315.76 94.16% zr_relight G:\Projects\Zorro\Project\relight
idmt-fileq F: 1397.26 1315.76 94.16% Sabrina F:\Projects\Sabrina
idmt-fileq F: 1397.26 1315.76 94.16% Zr_Daily_N E:\Projects\Zorro\Daily_N
idmt-fileq F: 1397.26 1315.76 94.16% TM_Project E:\Projects\TTMS\Project
idmt-fileq F: 1397.26 1315.76 94.16% Zr_scratch E:\Projects\Zorro\Zorro_scratch
idmt-fileq F: 1397.26 1315.76 94.16% Zr_Project E:\Projects\Zorro\Project
idmt-fileq F: 1397.26 1315.76 94.16% Zr_Images E:\Projects\Zorro\Production\Render\Images
idmt-fileq F: 1397.26 1315.76 94.16% zr_data G:\Projects\Zorro\Project\data
idmt-fileq F: 1397.26 1315.76 94.16% Zr_Daily E:\Projects\Zorro\Production\Daily
idmt-fileq F: 1397.26 1315.76 94.16% Zr_MOV E:\Projects\Zorro\Production\Render\MOV
idmt-fileq F: 1397.26 1315.76 94.16% Zr_Reference E:\Projects\Zorro\Reference
idmt-fileq F: 1397.26 1315.76 94.16% TestProjects G:\Projects\TestProjects
idmt-fileq F: 1397.26 1315.76 94.16% WO_Post_P F:\Projects\woodlies\Post_Production
idmt-fileq F: 1397.26 1315.76 94.16% RR_Project_Particles E:\Projects\RainbowRiders\Project\particles
idmt-fileq F: 1397.26 1315.76 94.16% Zr_Compositing E:\Projects\Zorro\Production\Render\Compositing
idmt-fileq F: 1397.26 1315.76 94.16% TM_sourceimages G:\Projects\TTMS\Project\sourceimages
idmt-fileq F: 1397.26 1315.76 94.16% RR_Project_data E:\Projects\RainbowRiders\Project\data
idmt-fileq F: 1397.26 1315.76 94.16% Zr_Post_P E:\Projects\Zorro\Post_Production
idmt-fileq G: 1397.26 532.52 38.11% WAWA E:\Projects\WAWA
idmt-fileq G: 1397.26 532.52 38.11% zr_relight G:\Projects\Zorro\Project\relight
idmt-fileq G: 1397.26 532.52 38.11% Sabrina F:\Projects\Sabrina
idmt-fileq G: 1397.26 532.52 38.11% Zr_Daily_N E:\Projects\Zorro\Daily_N
idmt-fileq G: 1397.26 532.52 38.11% TM_Project E:\Projects\TTMS\Project
idmt-fileq G: 1397.26 532.52 38.11% Zr_scratch E:\Projects\Zorro\Zorro_scratch
idmt-fileq G: 1397.26 532.52 38.11% Zr_Project E:\Projects\Zorro\Project
idmt-fileq G: 1397.26 532.52 38.11% Zr_Images E:\Projects\Zorro\Production\Render\Images
idmt-fileq G: 1397.26 532.52 38.11% zr_data G:\Projects\Zorro\Project\data
idmt-fileq G: 1397.26 532.52 38.11% Zr_Daily E:\Projects\Zorro\Production\Daily
idmt-fileq G: 1397.26 532.52 38.11% Zr_MOV E:\Projects\Zorro\Production\Render\MOV
idmt-fileq G: 1397.26 532.52 38.11% Zr_Reference E:\Projects\Zorro\Reference
idmt-fileq G: 1397.26 532.52 38.11% TestProjects G:\Projects\TestProjects
idmt-fileq G: 1397.26 532.52 38.11% WO_Post_P F:\Projects\woodlies\Post_Production
idmt-fileq G: 1397.26 532.52 38.11% RR_Project_Particles E:\Projects\RainbowRiders\Project\particles
idmt-fileq G: 1397.26 532.52 38.11% Zr_Compositing E:\Projects\Zorro\Production\Render\Compositing
idmt-fileq G: 1397.26 532.52 38.11% TM_sourceimages G:\Projects\TTMS\Project\sourceimages
idmt-fileq G: 1397.26 532.52 38.11% RR_Project_data E:\Projects\RainbowRiders\Project\data
idmt-fileq G: 1397.26 532.52 38.11% Zr_Post_P E:\Projects\Zorro\Post_Production
idmt-files F: 5703.11 1893.28 33.19% GT_Compositing F:\Projects\GT_Compositing
idmt-files F: 5703.11 1893.28 33.19% OT_Compositing F:\Projects\OT_Compositing
idmt-files F: 5703.11 1893.28 33.19% Daipa F:\Projects\Daipa
idmt-files F: 5703.11 1893.28 33.19% WO_Images F:\Projects\WO_Images
idmt-files F: 5703.11 1893.28 33.19% ROMA_EXR_ODD F:\Projects\ROMA_EXR_ODD
idmt-files F: 5703.11 1893.28 33.19% SK_Compositing F:\Projects\SK_Compositing
idmt-filet D: 911.43 69.78 7.655% MT_Project F:\Projects\MayaTheBee\Project
idmt-filet D: 911.43 69.78 7.655% SHOT_ROMA F:\Projects\SHOT_ROMA
